id,name,abbrev,duck_bag,duck_hunters,duck_daysAfield,goose_bag,goose_hunters,goose_daysAfield
1,Alabama,AL,13,13200,7,4,5100,5
2,Alaska,AK,11,5000,5,4,2000,5
4,Arizona,AZ,12,3300,6,2,1400,5
5,Arkansas,AR,22,54900,8,7,18100,5
6,California,CA,28,50300,9,5,33700,7
8,Colorado,CO,9,11700,6,7,13900,6
9,Connecticut,CT,7,1900,6,7,1600,6
10,Delaware,DE,11,3800,7,7,3600,6
11,District of Columbia,,,,,,,
12,Florida,FL,15,13900,6,2,900,4
13,Georgia,GA,9,17500,6,4,10200,5
15,Hawaii,,,,,,,
16,Idaho,ID,14,16600,6,5,12400,6
17,Illinois,IL,13,31000,9,5,24700,8
18,Indiana,IN,9,11000,7,6,10600,7
19,Iowa,IA,11,16700,7,5,12900,7
20,Kansas,KS,14,15100,6,9,13400,6
21,Kentucky,KY,15,9000,8,3,8100,7
22,Louisiana,LA,25,75300,8,6,12300,6
23,Maine,ME,6,4600,5,3,2900,5
24,Maryland,MD,7,16400,5,7,24600,5
25,Massachusetts,MA,6,3200,6,4,2600,6
26,Michigan,MI,9,36400,6,4,33600,6
27,Minnesota,MN,9,66200,6,4,49400,6
28,Mississippi,MS,21,14500,7,5,5100,5
29,Missouri,MO,15,31400,7,5,13300,5
30,Montana,MT,10,12800,5,5,10700,4
31,Nebraska,NE,13,13300,7,8,13000,8
32,Nevada,NV,13,3100,6,3,2000,5
33,New Hampshire,NH,5,2700,6,3,2100,6
34,New Jersey,NJ,9,6100,7,8,4500,5
35,New Mexico,NM,12,3000,6,4,1900,4
36,New York,NY,9,19500,6,8,17000,6
37,North Carolina,NC,11,27400,6,3,15600,4
38,North Dakota,ND,14,31500,5,7,24100,5
39,Ohio,OH,8,16400,7,5,18300,7
40,Oklahoma,OK,20,15800,7,6,8200,5
41,Oregon,OR,21,19000,8,6,10200,6
42,Pennsylvania,PA,5,22700,5,5,27700,5
44,Rhode Island,RI,8,700,7,6,600,7
45,South Carolina,SC,10,19500,6,3,7200,4
46,South Dakota,SD,13,14600,5,8,13400,5
47,Tennessee,TN,19,14200,8,3,8400,7
48,Texas,TX,15,71100,6,5,42200,3
49,Utah,UT,14,15600,7,2,9500,6
50,Vermont,VT,8,2700,6,5,2100,5
51,Virginia,VA,8,16200,6,4,14300,5
53,Washington,WA,20,20900,8,5,12200,5
54,West Virginia,WV,7,900,6,6,900,6
55,Wisconsin,WI,7,55500,7,2,41200,7
56,Wyoming,WY,10,3800,5,6,3800,5
